model,native_seed,native_pool,native_n,native_rej,tt_seed,tt_pool,tt_n,tt_rej
qwen2.5-coder:0.5b,0.0,0.0,542,0,0.438,0.8,15,1
qwen2.5-coder:1.5b,0.502,0.506,83,1,0.812,0.875,16,2
qwen2.5-coder:3b,,,,,0.867,0.833,12,0
qwen2.5-coder:7b,,,,,0.847,0.885,26,1
qwen2.5-coder:14b,,,,,1.0,1.0,29,3
llama3.2:latest,,,,,0.125,0.2,5,0
phi3:latest,,,,,0.5,0.5,4,0
gemma3:4b,,,,,1.0,1.0,4,4
gemma3:270m,,,,,0.0,0.0,4,0
